name,state,year,se,jobs,se_jobs,rd,gdp,rd_gdp
Alabama,AL,2008,68580,1945300,3.53,4870,172687,2.82
Alabama,AL,2009,68670,1863620,3.68,3936,168348,2.34
Alabama,AL,2010,68450,1807480,3.79,3748,174753,2.14
Alabama,AL,2011,70290,1809420,3.88,4946,181350,2.73
Alabama,AL,2012,72880,1824400,3.99,3924,186299,2.11
Alabama,AL,2013,76650,1844080,4.16,3920,191481,2.05
Alabama,AL,2014,74480,1857530,4.01,4616,194211,2.38
Alabama,AL,2015,73190,1883310,3.89,4195,200403,2.09
Alabama,AL,2016,72480,1912990,3.79,5052,203830,2.48
Alabama,AL,2017,73410,1922570,3.82,5879,210364,2.79
Alaska,AK,2008,13260,307790,4.31,269,54752,0.49
Alaska,AK,2009,14780,308140,4.8,300,49586,0.61
Alaska,AK,2010,15430,308050,5.01,355,52883,0.67
Alaska,AK,2011,15680,313170,5.01,381,56260,0.68
Alaska,AK,2012,16260,318700,5.1,292,57670,0.51
Alaska,AK,2013,15210,322660,4.71,318,56623,0.56
Alaska,AK,2014,14920,324970,4.59,289,55523,0.52
Alaska,AK,2015,14970,327250,4.57,333,50642,0.66
Alaska,AK,2016,14340,323500,4.43,303,49363,0.61
Alaska,AK,2017,14810,318170,4.65,1146,51803,2.21
Arizona,AZ,2008,102100,2637830,3.87,7010,259367,2.7
Arizona,AZ,2009,102820,2479120,4.15,6511,243929,2.67
Arizona,AZ,2010,102870,2367120,4.35,5481,248210,2.21
Arizona,AZ,2011,115330,2380200,4.85,6453,257948,2.5
Arizona,AZ,2012,116930,2414340,4.84,6510,268289,2.43
Arizona,AZ,2013,123410,2475660,4.98,6712,275199,2.44
Arizona,AZ,2014,127760,2526990,5.06,6936,284430,2.44
Arizona,AZ,2015,133650,2587070,5.17,7011,297141,2.36
Arizona,AZ,2016,138560,2652990,5.22,8040,311091,2.58
Arizona,AZ,2017,140300,2704050,5.19,7826,327496,2.39
Arkansas,AR,2008,29310,1176050,2.49,747,98955,0.75
Arkansas,AR,2009,31420,1147660,2.74,986,97059,1.02
Arkansas,AR,2010,29200,1135560,2.57,596,101690,0.59
Arkansas,AR,2011,29350,1139670,2.58,678,106085,0.64
Arkansas,AR,2012,29530,1155020,2.56,636,108745,0.58
Arkansas,AR,2013,30660,1152600,2.66,611,114252,0.53
Arkansas,AR,2014,32050,1158790,2.77,636,117337,0.54
Arkansas,AR,2015,33350,1176130,2.84,624,118761,0.53
Arkansas,AR,2016,33180,1191320,2.79,701,120375,0.58
Arkansas,AR,2017,35690,1200130,2.97,812,123383,0.66
California,CA,2008,791750,15212610,5.2,81323,1990678,4.09
California,CA,2009,795240,14532640,5.47,79671,1920062,4.15
California,CA,2010,758830,14001730,5.42,81035,1974615,4.1
California,CA,2011,800430,14038950,5.7,91420,2050057,4.46
California,CA,2012,821780,14303630,5.75,97531,2144497,4.55
California,CA,2013,849510,14714530,5.77,104676,2262771,4.63
California,CA,2014,880850,15119730,5.83,114845,2395162,4.79
California,CA,2015,0,15496600,0,125056,2553772,4.9
California,CA,2016,932020,15966580,5.84,135129,2657798,5.08
California,CA,2017,946680,16695010,5.67,150552,2819111,5.34
Colorado,CO,2008,147000,2302340,6.38,5810,255567,2.27
Colorado,CO,2009,148090,2234250,6.63,6087,248594,2.45
Colorado,CO,2010,143210,2157690,6.64,6171,255141,2.42
Colorado,CO,2011,144750,2179060,6.64,6862,264432,2.59
Colorado,CO,2012,149020,2226160,6.69,6455,273520,2.36
Colorado,CO,2013,154020,2295000,6.71,6740,288305,2.34
Colorado,CO,2014,160700,2367780,6.79,6775,306571,2.21
Colorado,CO,2015,167400,2451490,6.83,6697,318555,2.1
Colorado,CO,2016,175370,2507680,6.99,6874,329368,2.09
Colorado,CO,2017,180660,2555300,7.07,7159,350004,2.05
Connecticut,CT,2008,80290,1697810,4.73,11322,240911,4.7
Connecticut,CT,2009,79160,1648950,4.8,11447,236393,4.84
Connecticut,CT,2010,74990,1598640,4.69,7458,237653,3.14
Connecticut,CT,2011,76550,1608820,4.76,8736,236524,3.69
Connecticut,CT,2012,78450,1620620,4.84,8681,243801,3.56
Connecticut,CT,2013,78850,1635590,4.82,9124,246632,3.7
Connecticut,CT,2014,79000,1646510,4.8,10219,248865,4.11
Connecticut,CT,2015,79490,1659430,4.79,9918,260073,3.81
Connecticut,CT,2016,80330,1666280,4.82,9295,263696,3.52
Connecticut,CT,2017,82960,1654420,5.01,10018,268311,3.73
Delaware,DE,2008,22330,425210,5.25,1594,54788,2.91
Delaware,DE,2009,22200,412570,5.38,2244,56871,3.95
Delaware,DE,2010,20920,397730,5.26,2329,57447,4.05
Delaware,DE,2011,22430,403430,5.56,2296,60357,3.8
Delaware,DE,2012,23440,405750,5.78,2614,61976,4.22
Delaware,DE,2013,22030,412140,5.35,2521,60666,4.16
Delaware,DE,2014,22830,424330,5.38,2732,66891,4.08
Delaware,DE,2015,22750,433840,5.24,2887,70969,4.07
Delaware,DE,2016,24120,440760,5.47,2285,69550,3.29
Delaware,DE,2017,26470,442690,5.98,2265,70775,3.2
District of Columbia,DC,2008,63360,635500,9.97,5946,99479,5.98
District of Columbia,DC,2009,61430,637180,9.64,4200,100895,4.16
District of Columbia,DC,2010,59870,639390,9.36,3568,106120,3.36
District of Columbia,DC,2011,62660,644730,9.72,3418,110076,3.11
District of Columbia,DC,2012,63600,653760,9.73,3133,112737,2.78
District of Columbia,DC,2013,65300,665850,9.81,4189,114891,3.65
District of Columbia,DC,2014,68820,674650,10.2,3935,119841,3.28
District of Columbia,DC,2015,69880,676060,10.34,3567,125212,2.85
District of Columbia,DC,2016,75520,702380,10.75,3516,129826,2.71
District of Columbia,DC,2017,76500,708220,10.8,4557,134043,3.4
Florida,FL,2008,248200,7771740,3.19,6515,750502,0.87
Florida,FL,2009,247070,7355940,3.36,7098,724582,0.98
Florida,FL,2010,239600,7103950,3.37,8002,737791,1.08
Florida,FL,2011,244970,7151700,3.43,9073,746788,1.21
Florida,FL,2012,248300,7273850,3.41,8289,769309,1.08
Florida,FL,2013,250330,7453230,3.36,8856,800704,1.11
Florida,FL,2014,257450,7665280,3.36,9009,839484,1.07
