id,nobelwinners,category,year,sex
1,Wilhelm Rontgen,physics,1901,M
2,Jacobus Henricus van 't Hoff,chemistry,1901,M
3,Emil Adolf von Behring,physiology or medicine,1901,M
4,Sully Prudhomme,literature,1901,M
5,Henry Dunant,peace,1901,M
6,Frederic Passy,peace,1901,M
7,Hendrik Lorentz,physics,1902,M
8,Pieter Zeeman,physics,1902,M
9,Hermann Emil Fischer,chemistry,1902,M
10,Ronald Ross,physiology or medicine,1902,M
11,Theodor Mommsen,literature,1902,M
12,Elie Ducommun,peace,1902,M
13,Charles Albert Gobat,peace,1902,M
14,Henri Becquerel,physics,1903,M
15,Pierre Curie,physics,1903,M
16,Marie Curie,physics,1903,F
17,Svante Arrhenius,chemistry,1903,M
18,Niels Ryberg Finsen,physiology or medicine,1903,M
19,Bjornstjerne Bjornson,literature,1903,M
20,Randal Cremer,peace,1903,M
21,Lord Rayleigh,physics,1904,M
22,William Ramsay,chemistry,1904,M
23,Ivan Pavlov,physiology or medicine,1904,M
24,Frédéric Mistral,literature,1904,M
25,José Echegaray,literature,1904,M
26,Institut de Droit International,peace,1904,M
27,Philipp Lenard,physics,1905,M
28,Adolf von Baeyer,chemistry,1905,M
29,Robert Koch,physiology or medicine,1905,M
30,Henryk Sienkiewicz,literature,1905,M
31,Bertha von Suttner,peace,1905,F
32,J. J. Thomson,physics,1906,M
33,Henri Moissan,chemistry,1906,M
34,Camillo Golgi,physiology or medicine,1906,M
35,Santiago Ramón y Cajal,physiology or medicine,1906,M
36,Giosuè Carducci,literature,1906,M
37,Theodore Roosevelt,peace,1906,M
38,Albert Abraham Michelson,physics,1907,M
39,Eduard Buchner,chemistry,1907,M
40,Charles Louis Alphonse Laveran,physiology or medicine,1907,M
41,Rudyard Kipling,literature,1907,M
42,Ernesto Teodoro Moneta,peace,1907,M
43,Louis Renault,peace,1907,M
44,Gabriel Lippmann,physics,1908,M
45,Ernest Rutherford,chemistry,1908,M
46,Élie Metchnikoff,physiology or medicine,1908,M
47,Paul Ehrlich,physiology or medicine,1908,M
48,Rudolf Christoph Eucken,literature,1908,M
49,Klas Pontus Arnoldson,peace,1908,M
50,Fredrik Bajer,peace,1908,M
51,Karl Ferdinand Braun,physics,1909,M
52,Guglielmo Marconi,physics,1909,M
53,Wilhelm Ostwald,chemistry,1909,M
54,Emil Theodor Kocher,physiology or medicine,1909,M
55,Selma Lagerlöf,literature,1909,F
56,Auguste Marie François Beernaert,peace,1909,M
57,Paul-Henri-Benjamin d'Estournelles de Constant,peace,1909,M
58,Johannes Diderik van der Waals,physics,1910,M
59,Otto Wallach,chemistry,1910,M
60,Albrecht Kossel,physiology or medicine,1910,M
61,Paul Heyse,literature,1910,M
62,International Peace Bureau,peace,1910,M
63,Wilhelm Wien,physics,1911,M
64,Marie Skłodowska-Curie,chemistry,1911,F
65,Allvar Gullstrand,physiology or medicine,1911,M
66,Maurice Maeterlinck,literature,1911,M
67,Tobias Asser,peace,1911,M
68,Alfred Hermann Fried,peace,1911,M
69,Gustaf Dalén,physics,1912,M
70,Victor Grignard,chemistry,1912,M
71,Paul Sabatier,chemistry,1912,M
72,Alexis Carrel,physiology or medicine,1912,M
73,Gerhart Hauptmann,literature,1912,M
74,Elihu Root,peace,1912,M
75,Heike Kamerlingh Onnes,physics,1913,M
76,Alfred Werner,chemistry,1913,M
77,Charles Richet,physiology or medicine,1913,M
78,Rabindranath Tagore,literature,1913,M
79,Henri La Fontaine,peace,1913,M
80,Max von Laue,physics,1914,M
81,Theodore William Richards,chemistry,1914,M
82,Robert Bárány,physiology or medicine,1914,M
83,William Henry Bragg,physics,1915,M
84,William Lawrence Bragg,physics,1915,M
85,Richard Willstätter,chemistry,1915,M
86,Romain Rolland,literature,1915,M
87,Verner von Heidenstam,literature,1916,M
88,Charles Glover Barkla,physics,1917,M
89,Karl Adolph Gjellerup,literature,1917,M
90,Henrik Pontoppidan,literature,1917,M
91,International Committee of the Red Cross,peace,1917,M
92,Max Planck,physics,1918,M
93,Fritz Haber,chemistry,1918,M
94,Johannes Stark,physics,1919,M
95,Jules Bordet,physiology or medicine,1919,M
96,Carl Spitteler,literature,1919,M
97,Woodrow Wilson,peace,1919,M
98,Charles Édouard Guillaume,physics,1920,M
99,Walther Nernst,chemistry,1920,M
100,August Krogh,physiology or medicine,1920,M
101,Knut Hamsun,literature,1920,M
102,Léon Bourgeois,peace,1920,M
103,Albert Einstein,physics,1921,M
104,Frederick Soddy,chemistry,1921,M
105,Anatole France,literature,1921,M
106,Hjalmar Branting,peace,1921,M
107,Christian Lous Lange,peace,1921,M
108,Niels Bohr,physics,1922,M
109,Francis William Aston,chemistry,1922,M
110,Archibald Hill,physiology or medicine,1922,M
111,Otto Fritz Meyerhof,physiology or medicine,1922,M
112,Jacinto Benavente,literature,1922,M
113,Fridtjof Nansen,peace,1922,M
