id,name,organization,city,state,country,orgcount,gender,multiorg,lat,lon
701,Martinus J. G. Veltman,University of Michigan,Ann Arbor,MI,USA,2,M,0,42.2681569,-83.7312291
925,Gerard Mourou,University of Michigan,Ann Arbor,MI,USA,2,M,0,42.2681569,-83.7312291
748,Alexei Abrikosov,Argonne National Laboratory,Argonne,IL,USA,1,M,0,41.7091409,-87.9786221
880,Eric Betzig,Howard Hughes Medical Institute,Ashburn,VA,USA,1,M,0,39.0049709,-77.4911968
476,Ilya Prigogine,University of Texas,Austin,TX,USA,2,M,0,30.2711286,-97.7436995
940,John B. Goodenough,University of Texas,Austin,TX,USA,2,M,0,30.2711286,-97.7436995
489,Daniel Nathans,Johns Hopkins University School of Medicine,Baltimore,MD,USA,4,M,0,39.2908816,-76.610759
490,Hamilton O. Smith,Johns Hopkins University School of Medicine,Baltimore,MD,USA,4,M,0,39.2908816,-76.610759
751,Peter Agre,Johns Hopkins University School of Medicine,Baltimore,MD,USA,4,M,0,39.2908816,-76.610759
824,Carol W. Greider,Johns Hopkins University School of Medicine,Baltimore,MD,USA,4,F,0,39.2908816,-76.610759
842,Adam G. Riess,Johns Hopkins University,Baltimore,MD,USA,2,M,0,39.2908816,-76.610759
945,Gregg L. Semenza,Johns Hopkins University,Baltimore,MD,USA,2,M,0,39.2908816,-76.610759
84201,Adam G. Riess,Space Telescope Science Institute,Baltimore,MD,USA,1,M,1,39.2908816,-76.610759
513,George D. Snell,Jackson Laboratory,BarHarbor,ME,USA,1,M,0,44.420155,-68.250315
581,Leon M. Lederman,Fermi National Accelerator Laboratory,Batavia,IL,USA,1,M,0,41.8500284,-88.3125738
203,Ernest Lawrence,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
246,William F. Giauque,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
261,Edwin M. McMillan,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
262,Glenn T. Seaborg,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
316,Emilio Segre,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
317,Owen Chamberlain,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
323,Donald A. Glaser,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
331,Melvin Calvin,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
385,Luis Alvarez,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
543,Gerard Debreu,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
565,Yuan T. Lee,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
648,John C. Harsanyi,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
719,Daniel L. McFadden,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
732,George A. Akerlof,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
741,Sydney Brenner,The Molecular Sciences Institute,Berkeley,CA,USA,1,M,0,37.8708393,-122.2728639
785,George F. Smoot,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
829,Oliver E. Williamson,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
841,Saul Perlmutter,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
847,Randy W. Schekman,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
952,Reinhard Genzel,University of California,Berkeley,CA,USA,20,M,0,37.8708393,-122.2728639
955,Jennifer A. Doudna,University of California,Berkeley,CA,USA,20,F,0,37.8708393,-122.2728639
84101,Saul Perlmutter,Lawrence Berkeley National Laboratory,Berkeley,CA,USA,1,M,1,37.8708393,-122.2728639
389,Marshall W. Nirenberg,National Institutes of Health,Bethesda,MD,USA,5,M,0,38.9843774,-77.0941675
405,Julius Axelrod,National Institutes of Health,Bethesda,MD,USA,5,M,0,38.9843774,-77.0941675
420,Christian Anfinsen,National Institutes of Health,Bethesda,MD,USA,5,M,0,38.9843774,-77.0941675
468,D. Carleton Gajdusek,National Institutes of Health,Bethesda,MD,USA,5,M,0,38.9843774,-77.0941675
956,Harvey J. Alter,National Institutes of Health,Bethesda,MD,USA,5,M,0,38.9843774,-77.0941675
632,Richard J. Roberts,New England Biolabs,Beverly,MA,USA,1,M,0,42.5584284,-70.8800491
229,Hermann J. Muller,Indiana University,Bloomington,IN,USA,2,M,0,39.1670396,-86.5342881
82801,Elinor Ostrom,Indiana University,Bloomington,IN,USA,2,M,1,39.1670396,-86.5342881
276,Fritz Lipmann,Harvard University,Boston,MA,USA,7,M,0,42.3602534,-71.0582912
282,John F. Enders,Harvard University,Boston,MA,USA,7,M,0,42.3602534,-71.0582912
284,Thomas H. Weller,Children's Medical Center,Boston,MA,USA,2,M,0,42.3602534,-71.0582912
